person1,person2,relationship
Tommy Tuberville,Katie Britt for AL,following only by person1
Tommy Tuberville,Lisa Murkowski,not following
Tommy Tuberville,Dan Sullivan,not following
Tommy Tuberville,Kyrsten Sinema,not following
Tommy Tuberville,Captain Mark Kelly,not following
Tommy Tuberville,John Boozman,following
Tommy Tuberville,Tom Cotton,following only by person1
Tommy Tuberville,Senator Dianne Feinstein,not following
Tommy Tuberville,Alex Padilla,not following
Tommy Tuberville,Michael Bennet,not following
Tommy Tuberville,John Hickenlooper,not following
Tommy Tuberville,Richard Blumenthal,not following
Tommy Tuberville,Chris Murphy,not following
Tommy Tuberville,Tom Carper,not following
Tommy Tuberville,Chris Coons,not following
Tommy Tuberville,Marco Rubio,following only by person1
Tommy Tuberville,Rick Scott,not following
Tommy Tuberville,Jon Ossoff,not following
Tommy Tuberville,Reverend Raphael Warnock,not following
Tommy Tuberville,Brian Schatz,not following
Tommy Tuberville,Mazie Hirono,not following
Tommy Tuberville,Mike Crapo,not following
Tommy Tuberville,Jim Risch,not following
Tommy Tuberville,Dick Durbin,not following
Tommy Tuberville,Tammy Duckworth,not following
Tommy Tuberville,Todd Young,following only by person2
Tommy Tuberville,Mike Braun,not following
Tommy Tuberville,Chuck Grassley,not following
Tommy Tuberville,Joni Ernst,not following
Tommy Tuberville,Senator Jerry Moran,following only by person2
Tommy Tuberville,Dr. Roger Marshall,following
Tommy Tuberville,Leader McConnell,following only by person1
Tommy Tuberville,Rand Paul,following only by person1
Tommy Tuberville,"Bill Cassidy, M.D.",not following
Tommy Tuberville,John Kennedy,not following
Tommy Tuberville,Sen. Susan Collins,not following
Tommy Tuberville,Senator Angus King,not following
Tommy Tuberville,Ben Cardin,not following
Tommy Tuberville,Chris Van Hollen,not following
Tommy Tuberville,Elizabeth Warren,not following
Tommy Tuberville,Ed Markey,not following
Tommy Tuberville,Debbie Stabenow,not following
Tommy Tuberville,Gary Peters,not following
Tommy Tuberville,Amy Klobuchar,not following
Tommy Tuberville,Tina Smith,not following
Tommy Tuberville,Roger Wicker,not following
Tommy Tuberville,U.S. Senator Cindy Hyde-Smith,not following
Tommy Tuberville,Josh Hawley,following only by person1
Tommy Tuberville,Eric Schmitt,not following
Tommy Tuberville,Jon Tester,not following
Tommy Tuberville,Steve Daines,not following
Tommy Tuberville,Senator Deb Fischer,not following
Tommy Tuberville,Gov. Pete Ricketts,not following
Tommy Tuberville,Catherine Cortez Masto,not following
Tommy Tuberville,Jacky Rosen,not following
Tommy Tuberville,Jeanne Shaheen,not following
Tommy Tuberville,Maggie Hassan,not following
Tommy Tuberville,Senator Bob Menendez,not following
Tommy Tuberville,Cory Booker,not following
Tommy Tuberville,Martin Heinrich,not following
Tommy Tuberville,Ben Ray Luján,not following
Tommy Tuberville,Chuck Schumer,not following
Tommy Tuberville,Kirsten Gillibrand,not following
Tommy Tuberville,Thom Tillis,not following
Tommy Tuberville,Ted Budd,following only by person1
Tommy Tuberville,Senator John Hoeven,not following
Tommy Tuberville,Kevin Cramer,not following
Tommy Tuberville,Sherrod Brown,not following
Tommy Tuberville,J.D. Vance,following only by person1
Tommy Tuberville,James Lankford,not following
Tommy Tuberville,Markwayne Mullin,not following
Tommy Tuberville,Ron Wyden,not following
Tommy Tuberville,Jeff Merkley,not following
Tommy Tuberville,Bob Casey Jr.,not following
Tommy Tuberville,John Fetterman,not following
Tommy Tuberville,Senator Jack Reed,not following
Tommy Tuberville,Sheldon Whitehouse,not following
Tommy Tuberville,Lindsey Graham,following
Tommy Tuberville,Tim Scott,following only by person1
Tommy Tuberville,John Thune,not following
Tommy Tuberville,Mike Rounds,not following
Tommy Tuberville,Marsha Blackburn,not following
Tommy Tuberville,Bill Hagerty,following
Tommy Tuberville,Senator John Cornyn,following
Tommy Tuberville,Ted Cruz,following only by person1
Tommy Tuberville,Mike Lee,following only by person1
Tommy Tuberville,Mitt Romney,following only by person1
Tommy Tuberville,Bernie Sanders,not following
