State,Senator,Party,Born,Occupation(s),Previous elective office(s),Education,Assumed office,Class,Residence[1],id,name,screen_name,location,followers_count,friends_count,x,y
Alabama,Tommy Tuberville,Republican,(age 68),College football coach Investment management firm partner,None,Southern Arkansas University (BS),3-Jan-21,2026 Class 2,Auburn[2],110798061,Tommy Tuberville,TTuberville,"Alabama, USA",77306,745,33.22064054,-86.86887049
Alabama,Katie Britt,Republican,(age 41),Senate staffer University administrator Lawyer  Campaign manager Business Council of Alabama President and CEO Alabama Wildlife Federation Board Member,None,"University of Alabama (BS, JD)",3-Jan-23,2028 Class 3,Montgomery,1.40092E+18,Katie Britt for AL,KatieBrittforAL,,21965,2,33.63513157,-86.69219039
Alaska,Lisa Murkowski,Republican,(age 65),Lawyer,Alaska House of Representatives,Georgetown University (AB) Willamette University (JD),"December 20, 2002[c]",2028 Class 3,Girdwood,151247615,Lisa Murkowski,LisaForSenate,Alaska,9238,479,57.8654,-152.882373
Alaska,Dan Sullivan,Republican,(age 58),U.S. Marine Corps officer Lawyer Assistant Secretary of State for Economic and Business Affairs,Alaska Attorney General,"Harvard University (AB) Georgetown University (MS, JD)",3-Jan-15,2026 Class 2,Anchorage,1869975300,Dan Sullivan,DanSullivan_AK,"Anchorage, AK",4928,577,64.0691952,-141.9403023
Arizona,Kyrsten Sinema,Independent[d],(age 46),Social worker Political activist Lawyer College lecturer,U.S. House Arizona Senate Arizona House of Representatives,"Brigham Young University (BA) Arizona State University (MSW, JD, PhD)",3-Jan-19,2024 Class 1,Phoenix,1080844782,Kyrsten Sinema,SenatorSinema,,200953,724,34.67619707,-113.8889256
Arizona,Mark Kelly,Democratic,(age 58),U.S. Navy officer NASA astronaut Americans for Responsible Solutions Co-founder,None,United States Merchant Marine Academy (BS) Naval Postgraduate School (MS),"December 2, 2020[e]",2028 Class 3,Tucson,65707359,Captain Mark Kelly,CaptMarkKelly,"Tucson, Arizona",493323,1534,35.238503,-111.82089
Arkansas,John Boozman,Republican,(age 72),Optometrist,U.S. House Rogers Public Schools Board,University of Arkansas Southern College of Optometry (OD),3-Jan-11,2028 Class 3,Rogers,111671288,John Boozman,Boozman4AR,,6306,690,35.96397463,-91.31669192
Arkansas,Tom Cotton,Republican,(age 45),Lawyer United States Army officer,U.S. House,"Harvard University (AB, JD)",3-Jan-15,2026 Class 2,Little Rock[5],968650362,Tom Cotton,SenTomCotton,,647464,365,34.26406519,-92.96448421
California,Dianne Feinstein,Democratic,(age 89),Nonprofit organization fellow California Women's Parole Board Member,Mayor of San Francisco San Francisco Board of Supervisors,Stanford University (BA),"November 10, 1992[f]",2024 Class 1,San Francisco,476256944,Senator Dianne Feinstein,SenFeinstein,California,1452313,261,35.48977735,-119.2445032
California,Alex Padilla,Democratic,(age 49),Engineer,Secretary of State of California California Senate Los Angeles City Council President,Massachusetts Institute of Technology (BS),"January 18, 2021[g]",2028 Class 3,Los Angeles,82489457,Alex Padilla,AlexPadilla4CA,"Los Angeles, CA",114191,1566,38.712829,-121.530216
Colorado,Michael Bennet,Democratic,(age 58),Lawyer Investment company executive Denver Public Schools Superintendent Chief of staff to the Mayor of Denver,None,Wesleyan University (BA) Yale University (JD),"January 21, 2009[h]",2028 Class 3,Denver,224285242,Michael Bennet,SenatorBennet,Colorado,306252,401,38.90510629,-104.9732785
Colorado,John Hickenlooper,Democratic,(age 71),Geologist Businessman,Governor of Colorado Mayor of Denver,"Wesleyan University (BA, MS)",3-Jan-21,2026 Class 2,Denver,117839957,John Hickenlooper,Hickenlooper,Colorado,199943,718,39.7144399,-105.6948128
Connecticut,Richard Blumenthal,Democratic,(age 76),Marine Corps Reserve Sergeant Senate staffer Lawyer U.S. Attorney,Connecticut Attorney General Connecticut Senate Connecticut House of Representatives,"Harvard University (AB) Trinity College, Cambridge Yale University (JD)",3-Jan-11,2028 Class 3,Greenwich,278124059,Richard Blumenthal,SenBlumenthal,"Connecticut, USA",712027,984,41.36574958,-71.98508757
Connecticut,Chris Murphy,Democratic,(age 49),Lawyer Political campaign manager,U.S. House Connecticut Senate Connecticut House of Representatives,"Williams College (BA) Exeter College, Oxford University of Connecticut (JD)",3-Jan-13,2024 Class 1,Hartford[6],150078976,Chris Murphy,ChrisMurphyCT,,1098727,267,41.68745123,-71.9165783
Delaware,Tom Carper,Democratic,(age 76),"U.S. Navy officer Staff, Delaware Office of Economic Development",Governor of Delaware U.S. House Delaware Treasurer,Ohio State University (BA) University of Delaware (MBA),3-Jan-01,2024 Class 1,Wilmington,381577682,Tom Carper,TomCarperforDE,Delaware,4420,640,38.55872766,-75.24181503
Delaware,Chris Coons,Democratic,(age 59),Nonprofit organization executive Lawyer,"New Castle County, Delaware County Executive New Castle County Council","Amherst College (BA) Yale University (MAR, JD)","November 15, 2010[i]",2026 Class 2,Wilmington,8.23303E+17,Chris Coons,ChrisCoonsforDE,"Delaware, USA",10965,3775,39.50985612,-75.5813046
Florida,Marco Rubio,Republican,(age 51),Lawyer,Florida House Speaker West Miami City Commission,University of Florida (BA) University of Miami (JD),3-Jan-11,2028 Class 3,West Miami[7],15745368,Marco Rubio,marcorubio,United States,4521010,2544,30.38736511,-84.76559163
Florida,Rick Scott,Republican,(age 70),U.S. Navy Lawyer Columbia/HCA CEO Venture capitalist,Governor of Florida,University of Missouri-Kansas City (BS) Southern Methodist University (JD),"January 8, 2019[j]",2024 Class 1,Naples,131546062,Rick Scott,SenRickScott,The Sunshine State,434786,1272,25.75700339,-80.44323722
Georgia,Jon Ossoff,Democratic,(age 35),Investigative journalist Documentary film producer U.S. House staffer,None,Georgetown University (BS) London School of Economics (MSc),"January 20, 2021[k]",2026 Class 2,Atlanta,521747968,Jon Ossoff,ossoff,"Georgia, USA (he/him)",1213409,1638,30.78762238,-83.68137742
Georgia,Raphael Warnock,Democratic,(age 53),Pastor,None,"Morehouse College (BA) Union Theological Seminary (MDiv, MPhil, PhD)","January 20, 2021[l]",2028 Class 3,Atlanta,1.22124E+18,Reverend Raphael Warnock,ReverendWarnock,Georgia,1232606,959,32.19062573,-84.14131485
Hawaii,Brian Schatz,Democratic,(age 50),Teacher Nonprofit organization executive,Lieutenant Governor of Hawaii Hawaii House of Representatives,Pomona College (BA),"December 26, 2012[m]",2028 Class 3,Honolulu,47747074,Brian Schatz,brianschatz,"ÜT: 19.72105,-155.087417",398151,3281,20.79584898,-156.9111369
Hawaii,Mazie Hirono,Democratic,(age 75),Lawyer,U.S. House Lieutenant Governor of Hawaii Hawaii House of Representatives,University of Hawaii at Manoa (BA) Georgetown University (JD),3-Jan-13,2024 Class 1,Honolulu,169198625,Mazie Hirono,mazieforhawaii,,7575,549,20.23194163,-155.7986713
Idaho,Mike Crapo,Republican,(age 71),Lawyer,U.S. House Idaho Senate,Brigham Young University (BA) Harvard University (JD),3-Jan-99,2028 Class 3,Idaho Falls,413160266,Mike Crapo,crapoforsenate,Idaho,1101,29,43.7195417,-112.1300276
Idaho,Jim Risch,Republican,(age 79),Professor Rancher Nonprofit organization executive Lawyer,Governor of Idaho Lieutenant Governor of Idaho Idaho Senate President pro tempore,"University of Wisconsin-Milwaukee University of Idaho (BS, JD)",3-Jan-09,2026 Class 2,Boise,1096059529,Jim Risch,SenatorRisch,Boise,116041,447,48.989178,-116.180221
Illinois,Dick Durbin,Democratic,(age 78),Lawyer Professor,U.S. House,"Georgetown University (BS, JD)",3-Jan-97,2026 Class 2,Springfield,308794407,Dick Durbin,DickDurbin,,35430,1167,38.15085141,-88.88997348
Illinois,Tammy Duckworth,Democratic,(age 54),Army National Guard officer Center for Nursing Research at Northern Illinois University Coordinator[8] U.S. Assistant Secretary of Veterans Affairs Illinois Director of Veterans Affairs,U.S. House,University of Hawaii at Manoa (BA) George Washington University (MA) Northern Illinois University Capella University (PhD),3-Jan-17,2028 Class 3,Hoffman Estates,1058520120,Tammy Duckworth,SenDuckworth,,744227,7333,41.92224845,-87.6510059
Indiana,Todd Young,Republican,(age 50),Marine Corps officer Professor Management consultant Lawyer,U.S. House,"United States Naval Academy (BS) University of Chicago (MBA) University of London (MA) Indiana University, Indianapolis (JD)",3-Jan-17,2028 Class 3,Bloomington,59969802,Todd Young,ToddYoungIN,"Indiana, USA",13185,1271,40.27829272,-86.05495375
Indiana,Mike Braun,Republican,(age 68),Businessman,"Indiana House of Representatives Jasper, Indiana School Board",Wabash College (BA) Harvard University (MBA),3-Jan-19,2024 Class 1,Jasper,1861019372,Mike Braun,braun4indiana,"Jasper, IN",14824,35,41.04809615,-85.11025856
Iowa,Chuck Grassley,Republican,(age 89),Farmer College professor,U.S. House Iowa House of Representatives,"University of Northern Iowa (BA, MA) University of Iowa",3-Jan-81,2028 Class 3,New Hartford,10615232,Chuck Grassley,ChuckGrassley,Iowa,838389,12511,42.57530525,-92.16417682
Iowa,Joni Ernst,Republican,(age 52),Farmer Army National Guard officer,Iowa Senate,Iowa State University (BA) Columbus State University (MPA),3-Jan-15,2026 Class 2,Red Oak,2856787757,Joni Ernst,SenJoniErnst,Iowa,156489,168,41.9003462,-92.18027863
Kansas,Jerry Moran,Republican,(age 68),Banker Lawyer,U.S. House Kansas Senate,"Fort Hays State University University of Kansas (BA, JD)",3-Jan-11,2028 Class 3,Manhattan,18632666,Senator Jerry Moran,JerryMoran,Kansas,119768,3063,37.0247482,-94.7307563
Kansas,Roger Marshall,Republican,(age 62),Doctor U.S. Army Reserve officer,U.S. House,Kansas State University (BS) University of Kansas (MD),3-Jan-21,2026 Class 2,Great Bend,1240107944,Dr. Roger Marshall,RogerMarshallMD,"Great Bend, KS",46843,1359,38.00396234,-94.87432044
Kentucky,Mitch McConnell,Republican,(age 80),Lawyer U.S. Senate staff member  United States Attorney Assistant Attorney General for the U.S. Department of Justice Office of Legislative Affairs,"Judge/Executive of Jefferson County, Kentucky",University of Louisville (BA) University of Kentucky (JD),3-Jan-85,2026 Class 2,Louisville,1249982359,Leader McConnell,LeaderMcConnell,"Washington, DC",2180301,111,37.07449824,-86.05796549
Kentucky,Rand Paul,Republican,(age 60),Physician specializing in Ophthalmology,None,Baylor University Duke University (MD),3-Jan-11,2028 Class 3,Bowling Green,216881337,Rand Paul,RandPaul,"Bowling Green, KY",4610837,595,37.55795653,-82.13991707
Louisiana,Bill Cassidy,Republican,(age 65),Physician,U.S. House Louisiana Senate,"Louisiana State University (BS, MD)",3-Jan-15,2026 Class 2,Baton Rouge,55677432,"Bill Cassidy, M.D.",BillCassidy,"Baton Rouge, LA",46893,1269,29.94468853,-90.06898938
Louisiana,John Kennedy,Republican,(age 71),Magazine editor Lawyer Professor Staff of Louisiana Governor Buddy Roemer Secretary of the Louisiana Department of Revenue,Louisiana Treasurer,"Vanderbilt University (BA) University of Virginia (JD) Magdalen College, Oxford (BCL)",3-Jan-17,2028 Class 3,Madisonville,8.16683E+17,John Kennedy,SenJohnKennedy,Louisiana,678715,1299,29.99316538,-91.02651398
Maine,Susan Collins,Republican,(age 70),House staffer Senate staffer  Small Business Administration Regional Director Deputy Treasurer of Massachusetts,None,St. Lawrence University (BA),3-Jan-97,2026 Class 2,Bangor,19726613,Sen. Susan Collins,SenatorCollins,Maine,558301,939,46.42552918,-67.84272829
Maine,Angus King,Independent[n],(age 78),Lawyer Senate staffer Entrepreneur Corporate executive Public television news program host,Governor of Maine,Dartmouth College (BA) University of Virginia (JD),3-Jan-13,2024 Class 1,Brunswick,1068481578,Senator Angus King,SenAngusKing,"Maine, USA",247445,570,43.8550457,-68.88983313
Maryland,Ben Cardin,Democratic,(age 79),Lawyer,U.S. House Speaker of the Maryland House of Delegates,"University of Pittsburgh (BA) University of Maryland, Baltimore (JD)",3-Jan-07,2024 Class 1,Baltimore,278094476,Ben Cardin,BenCardinforMD,Maryland,8215,1723,39.00330461,-77.10034465
Maryland,Chris Van Hollen,Democratic,(age 64),U.S. Senate staff member Maryland Governor's legislative advisor Lawyer,U.S. House Maryland Senate Maryland House of Delegates,Swarthmore College (BA) Harvard University (MPP) Georgetown University (JD),3-Jan-17,2028 Class 3,Kensington,3067974778,Chris Van Hollen,VanHollenForMD,Maryland,6820,269,38.69829769,-76.60454669
Massachusetts,Elizabeth Warren,Democratic,(age 73),Lawyer Professor Research associate Nonprofit organization executive COP Chair CFPB Special Advisor,None,George Washington University University of Houston (BS) Rutgers University-Newark (JD),3-Jan-13,2024 Class 1,Cambridge,970207298,Elizabeth Warren,SenWarren,,7041084,512,42.54656334,-71.91556932
Massachusetts,Ed Markey,Democratic,(age 76),United States Army Reserve Lawyer,U.S. House Massachusetts House of Representatives,"Boston College (BA, JD)","July 16, 2013[o]",2026 Class 2,Malden,21406834,Ed Markey,SenMarkey,Massachusetts,263365,1822,42.26301313,-72.24475827
Michigan,Debbie Stabenow,Democratic,(age 72),Social worker Leadership training consultant,U.S. House Michigan House of Representatives Michigan Senate,"Michigan State University (BA, MSW)",3-Jan-01,2024 Class 1,Lansing,20113797,Debbie Stabenow,stabenow,,63237,232,42.07634667,-83.95464219
Michigan,Gary Peters,Democratic,(age 64),United States Navy Reserve officer Financial advisor Lawyer College professor and lecturer,U.S. House Michigan Senate,"Alma College (BA) University of Detroit (MBA) Wayne State University (JD, MA) Michigan State University (MA)",3-Jan-15,2026 Class 2,Bloomfield Hills,145292853,Gary Peters,GaryPeters,"Oakland County, MI",42167,779,41.94468795,-86.55478757
Minnesota,Amy Klobuchar,Democratic (DFL)[p],(age 62),Lawyer,"Hennepin County, Minnesota County Attorney",Yale University (BA) University of Chicago (JD),3-Jan-07,2024 Class 1,Minneapolis,33537967,Amy Klobuchar,amyklobuchar,,2043678,126068,44.966341,-94.89569399
Minnesota,Tina Smith,Democratic (DFL)[p],(age 64),Public relations consultant Political campaign manager Chief of staff to the Mayor of Minneapolis Chief of staff to the Governor of Minnesota,Lieutenant Governor of Minnesota,Stanford University (BA) Dartmouth College (MBA),"January 3, 2018[q]",2026 Class 2,Minneapolis,47724293,Tina Smith,TinaSmithMN,"Minnesota, USA",84860,4131,44.02136299,-92.74036997
Mississippi,Roger Wicker,Republican,(age 71),U.S. Air Force officer/Judge Advocate U.S. House staffer Lawyer,U.S. House Mississippi Senate,"University of Mississippi (BA, JD)","December 31, 2007[r]",2024 Class 1,Tupelo,11650762,Roger Wicker,RogerWicker,Mississippi,15669,84,33.35361315,-90.60462188
Mississippi,Cindy Hyde-Smith,Republican,(age 63),Lobbyist Farmer,Mississippi Commissioner of Agriculture and Commerce Mississippi Senate,Copiah-Lincoln Community College (AA) University of Southern Mississippi (BA),"April 9, 2018[s]",2026 Class 2,Brookhaven,9.83348E+17,U.S. Senator Cindy Hyde-Smith,SenHydeSmith,Brookhaven,26773,670,32.47566522,-90.1226565
Missouri,Josh Hawley,Republican,(age 43),Lawyer Professor,Missouri Attorney General,Stanford University (BA) Yale University (JD),3-Jan-19,2024 Class 1,Ozark,2352629311,Josh Hawley,HawleyMO,"Missouri, USA",1226167,944,39.7321163,-94.23453583
Missouri,Eric Schmitt,Republican,(age 47),Lawyer Professor,"Missouri Attorney General Missouri Treasurer Missouri Senate Glendale, Missouri Board of Aldermen",Truman State University (BA) Saint Louis University (JD),3-Jan-23,2028 Class 3,Glendale,341118458,Eric Schmitt,EricSchmittNYT,"Washington, D.C.",51986,1103,38.65975007,-91.32734558
Montana,Jon Tester,Democratic,(age 66),Music teacher Farmer,"Member of the Montana Senate Montana Senate President Big Sandy, Montana School Board",University of Providence (BA),3-Jan-07,2024 Class 1,Big Sandy,16473577,Jon Tester,jontester,"Big Sandy, Montana",37044,2902,46.39781983,-112.9652219
Montana,Steve Daines,Republican,(age 60),Businessman,U.S. House,Montana State University (BS),3-Jan-15,2026 Class 2,Bozeman,11651202,Steve Daines,SteveDaines,"Bozeman, MT",88194,668,47.19105819,-114.8855416
Nebraska,Deb Fischer,Republican,(age 71),Rancher,Nebraska Legislature,University of Nebraska-Lincoln (BS),3-Jan-13,2024 Class 1,Lincoln,1071402577,Senator Deb Fischer,SenatorFischer,,103563,208,40.36591571,-96.70065655
Nebraska,Pete Ricketts,Republican,(age 58),Businessman,Governor of Nebraska,"University of Chicago (BA, MBA)","January 23, 2023[t]",2024 (special) 2026 (general) Class 2,Omaha,2891165960,Gov. Pete Ricketts,GovRicketts,Nebraska,43485,1231,40.68686432,-96.25887439
Nevada,Catherine Cortez Masto,Democratic,(age 58),Lawyer,Nevada Attorney General,"University of Nevada, Reno (BS) Gonzaga University (JD)",3-Jan-17,2028 Class 3,Las Vegas,3145735852,Catherine Cortez Masto,CortezMasto,"Las Vegas, Nevada",63663,819,38.53836,-117.074818
Nevada,Jacky Rosen,Democratic,(age 65),"Computer programmer Software developer, designer, consultant[12][13]",U.S. House,University of Minnesota (BA) Clark County Community College (AAS),3-Jan-19,2024 Class 1,Henderson,4749863113,Jacky Rosen,RosenforNevada,"Nevada, USA",35425,646,36.1775023,-115.3193524
New Hampshire,Jeanne Shaheen,Democratic,(age 76),Teacher Entrepreneur,Governor of New Hampshire New Hampshire Senate,Shippensburg University (BA) University of Mississippi (MSS),3-Jan-09,2026 Class 2,Madbury,14125897,Jeanne Shaheen,JeanneShaheen,New Hampshire,21737,527,43.00218064,-71.44604243
New Hampshire,Maggie Hassan,Democratic,(age 64),Lawyer,Governor of New Hampshire New Hampshire Senate,Brown University (BA) Northeastern University (JD),3-Jan-17,2028 Class 3,Newfields,361569788,Maggie Hassan,Maggie_Hassan,"Newfields, NH",33243,255,43.06974192,-72.09038595
